Domain_ID,Source_Field,JSON_Pointer,Registry_Field_Type,Record_Count,Interpretation
care_setting_caregiver,Complete allowed protocol fields,/protocolSection/eligibilityModule; /protocolSection/identificationModule; /protocolSection/descriptionModule; /protocolSection/conditionsModule; /protocolSection/designModule; /protocolSection/armsInterventionsModule; /protocolSection/outcomesModule,OPTIONAL_STRUCTURED_FIELD,1009,Registry transparency only; absence does not establish that the construct was absent from the trial protocol or clinical conduct.
care_setting_caregiver,Complete allowed protocol fields,/protocolSection/eligibilityModule/eligibilityCriteria,FREE_TEXT_FIELD,112,Registry transparency only; absence does not establish that the construct was absent from the trial protocol or clinical conduct.
care_setting_caregiver,Complete allowed protocol fields,/protocolSection/descriptionModule/detailedDescription,FREE_TEXT_FIELD,34,Registry transparency only; absence does not establish that the construct was absent from the trial protocol or clinical conduct.
care_setting_caregiver,Complete allowed protocol fields,/protocolSection/descriptionModule/briefSummary,FREE_TEXT_FIELD,33,Registry transparency only; absence does not establish that the construct was absent from the trial protocol or clinical conduct.
care_setting_caregiver,Complete allowed protocol fields,/protocolSection/identificationModule/officialTitle,OPTIONAL_STRUCTURED_OR_FREE_TEXT_FIELD,13,Registry transparency only; absence does not establish that the construct was absent from the trial protocol or clinical conduct.
care_setting_caregiver,Complete allowed protocol fields,/protocolSection/outcomesModule/secondaryOutcomes/5,OPTIONAL_STRUCTURED_FIELD,3,Registry transparency only; absence does not establish that the construct was absent from the trial protocol or clinical conduct.
care_setting_caregiver,Complete allowed protocol fields,/protocolSection/armsInterventionsModule/armGroups/0,OPTIONAL_STRUCTURED_OR_FREE_TEXT_FIELD,2,Registry transparency only; absence does not establish that the construct was absent from the trial protocol or clinical conduct.
care_setting_caregiver,Complete allowed protocol fields,/protocolSection/outcomesModule/secondaryOutcomes/0,OPTIONAL_STRUCTURED_FIELD,2,Registry transparency only; absence does not establish that the construct was absent from the trial protocol or clinical conduct.
care_setting_caregiver,Complete allowed protocol fields,/protocolSection/armsInterventionsModule/interventions/1,OPTIONAL_STRUCTURED_OR_FREE_TEXT_FIELD,1,Registry transparency only; absence does not establish that the construct was absent from the trial protocol or clinical conduct.
care_setting_caregiver,Complete allowed protocol fields,/protocolSection/outcomesModule/secondaryOutcomes/3,OPTIONAL_STRUCTURED_FIELD,1,Registry transparency only; absence does not establish that the construct was absent from the trial protocol or clinical conduct.
care_setting_caregiver,Complete allowed protocol fields,/protocolSection/identificationModule/briefTitle,OPTIONAL_STRUCTURED_OR_FREE_TEXT_FIELD,1,Registry transparency only; absence does not establish that the construct was absent from the trial protocol or clinical conduct.
care_setting_caregiver,Complete allowed protocol fields,/protocolSection/outcomesModule/secondaryOutcomes/41,OPTIONAL_STRUCTURED_FIELD,1,Registry transparency only; absence does not establish that the construct was absent from the trial protocol or clinical conduct.
