Relative_Path,Bytes,SHA256
CITATION.cff,1091,3f64ff3845d7a88f6a377c8407b3c63590d976ce30ba1f24321a63f596cb1710
LICENSE,547,ad8fc86f25c8f9a5b096d272c82e938e29deef151076e79060ecc02a999ac41b
README.md,1705,c23cd4fa4c9ccc977a037774fd0616553f074ecac2d1babd204da25f42edbb10
REPRODUCTION_INSTRUCTIONS.md,415,80ac82c6dcab073dc142aa94f5fbf1705af7f4b9d4d3ddb775783f9584d58b66
VERSION,7,69bcb4b0ee66bc1e2f6b5cd8204af57583198a697d31801af67d7a71ea6e468c
analysis/STEP13_PRIMARY_ANALYSIS_AGE_CONFIRMED_1218.py,131775,bc799c08c88288166b548590aa8efa1f5c209a889570bce9e870d8349e61509c
data/NCT_ID_FROZEN_JSON_HASH_MANIFEST.csv,153053,8116d1a110d6697e0e77901a95785cc53ce00de6e538b3d437f11d53340ab2dc
data/minimized_derived/JOINT_TRIAL_LEVEL_DATASET.csv,185219,c28f465d9432cc21a05ebc34d4220fa0d6f11cfa6e6a134ec5ccfa9bcf2891d2
data/minimized_derived/OUTCOME_LEVEL_FINAL_HUMAN_CONFIRMED_MINIMIZED.csv,4621009,54a2031aab1e4bce6ed5f257d9d940433780396b2091a49dbd1d33d3802a65ea
data/minimized_derived/TRIAL_LEVEL_GERIATRIC_DIRECTION_FINAL.csv,114447,ab7b49fa3df8c7038f949454870b901124d0b19b46ec134e946b85a03cb639cf
docs/HUMAN_AND_CLEANROOM_VALIDATION.md,502,9803e78afeb2f8d44574c9f9b0bff9c5bb4c30b69a299918d0e0bee306876c62
docs/OUTCOME_TABLE_SUPERSESSION_LEDGER.md,989,a8830ff770a6f43754490376a50a71b98ec46106c0cda8db232ca320de0396a9
docs/SCIENTIFIC_BOUNDARIES.md,641,7304a59a1e7ecae3f43a46f0f4f989e41e3bbd1150054483a7dde80f6775cc60
environment/requirements-dev.in,105,c7a3f232df2f9d81b40e7f105e86ff08e552cb3d4574fd4391d9a667be9a3abe
environment/requirements-dev.lock,32337,bb8eec4773a38e7af8867a84a9bbb9b69e664e7198d80ce119371eb119e96cd1
environment/requirements.in,14,0969da99a0bc2a1b71ed50584560f4588a37567ac63af3ddbaf3c4617ca5621a
environment/requirements.lock,6441,ebe00f13024b85897b53ea800f3f33ee87875d812898bda8c36080ad2003b912
manifests/ANALYTICAL_INPUT_MANIFEST.csv,324390,0aec15d153c7f0b9462aad9dcac667c30e3195c6cb570c80254a0065b0b9502a
manuscript/ABSTRACT.md,1017,64f482059a2f7f85b27e774c30824dbad583e334c061ea1cb4d19f0a67c602ad
manuscript/AUTHORSHIP_AND_DECLARATIONS.md,3900,636a58fa660d06e3fe032750495b49e3b850fe5fed9465eb79a2511ac32231f5
manuscript/MANUSCRIPT.md,51799,dbc97f499efc9632728bc0652888099fb775f8c01cb33295316e13b365b12bb4
publication/Figure1_data.csv,1161,bcdd885fbb408b0f80c92d4ca298e244c9cc1e9f98e1a5bc0a2546d66bf1d746
publication/Figure2_data.csv,1483,eba142dfa65df153e05802704920b30b155130846d9669d1dd4b03cb3011fabe
publication/Figure3_data.csv,1624,b98e16ca8ff805b8749394570911ebc3587f1d6096389d6df8c1971f96c0f289
publication/Figure4_data.csv,5912,f145cfeddee283963f634b97e394fcbe8220d7f9d6b34eeee25dabeda5ceab88
publication/Supplementary_Figure_S1_data.csv,5606,53b8ee843bb022fd1a8bfdeab6bcdd1dfb89c8dce58fafd9b31967b7eff682a0
publication/Supplementary_Table_S1.csv,1161,bcdd885fbb408b0f80c92d4ca298e244c9cc1e9f98e1a5bc0a2546d66bf1d746
publication/Supplementary_Table_S10.csv,18643,a34c302f28d02ddf77e6c0c4eae7a6558d5e54e167103d051c3cea1148564ee5
publication/Supplementary_Table_S11.csv,25638,56e8c97b025c53c36616364440e27df78e486f9af31f910afe62dbd3812285f8
publication/Supplementary_Table_S12.csv,8394,0f620394500261c6da7647a8c58a89080a9fff33c0d7d62110977bdd231ccf88
publication/Supplementary_Table_S13.csv,1859,80e8386d0125033c2a0c7256120967a1d3ce2fcb0afd621905b599ff6bfaa6a6
publication/Supplementary_Table_S14.csv,24521,5064d7ba8c68da862f24e1ccb816eca2737ca1270d2eb9d6832a4f302f4b8459
publication/Supplementary_Table_S15.csv,843,17dc4d0a9209e5c1a883c8b909416f8f48bcf7659d1a0ff8639ee30cdcf79c39
publication/Supplementary_Table_S16.csv,40545,626df2e0bd8c0ac3a1ffab320504b798dacf38f668eab639d780738023d79b7c
publication/Supplementary_Table_S17.csv,735,dc80ca1a3421a6603afdc9f447b143d6d86246298dc9021eaa53032b3ec1d800
publication/Supplementary_Table_S18.csv,2027,7c756fdbb2916d2c80e48ed800cb3d50303bab8160bb53885206facd8939bfef
publication/Supplementary_Table_S19.csv,967,3bb0b688d026154362db7a0fc2876850ac76bacf0b917a920ec93a065c301c4f
publication/Supplementary_Table_S2.csv,1682,8d5dc0023f5f745721e34206a14de4baf08f91ce88fad6619fa778ba8378315c
publication/Supplementary_Table_S20.csv,5912,f145cfeddee283963f634b97e394fcbe8220d7f9d6b34eeee25dabeda5ceab88
publication/Supplementary_Table_S21.csv,2437,4ffb90d1bbbe31c0d0416f1274065a12857687cc08f808e5db96694db6de15c5
